Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF 250v","C_2220_HandSoldering",32.385000,-26.797000,0.000000,top
"C2","1uF 250v","C_2220_HandSoldering",32.410400,-20.294600,0.000000,top
"C3","0.1uF 250v","C_0805",32.943800,-9.372600,180.000000,top
"C4","100uF 16v","C_1210",2.908300,-27.266900,180.000000,top
"C5","220pF","C_0805",11.633200,-10.210800,0.000000,top
"C6","100pF 250v","C_0805",31.826200,-14.884400,90.000000,top
"C7","430pF","C_0805",9.067800,-15.659100,90.000000,top
"C8","100uF 16v","C_1210",2.908300,-30.505400,180.000000,top
"C10","0.1uF 16v","C_0805",19.100800,-12.509500,0.000000,top
"C11","1nF","C_0805",22.885400,-12.954000,90.000000,top
"C12","0.1uF 250v","C_0805",30.238700,-31.394400,0.000000,top
"C13","0.1uF 250v","C_0805",32.893000,-11.404600,180.000000,top
"C14","47uF 16v","C_1206",9.969500,-5.588000,0.000000,top
"C15","560pF 250v","C_0603",26.098500,-22.618700,90.000000,top
"C16","100uF 16v","C_1210",3.060700,-20.231100,180.000000,top
"C18","0.1uF","C_0805",3.022600,-17.500600,180.000000,top
"D1","ES1D","D_SMA_Handsoldering",24.015700,-31.356300,180.000000,top
"D2","BAT54","D_SOD-323_HandSoldering",9.855200,-12.090400,0.000000,top
"L2","60ohm 100Mhz","R_0805",2.971800,-22.733000,0.000000,top
"L3","33uH","Choke_SMD_12x12mm_Wurth_WE-PD",12.725400,-30.340300,180.000000,top
"L5","60ohm 100Mhz","R_0805",34.848800,-14.681200,270.000000,top
"P1","USB_OTG","USB_Micro-B_Wurth_3A_Non-OVAL-Drill",4.102100,-11.328400,270.000000,top
"Q1","FDS2672CT","SOIC-8-N",22.440900,-21.704300,180.000000,top
"Q26","MMBT42","SOT-23",11.328400,-2.438400,90.000000,top
"R1","1k","R_0805",14.376400,-2.362200,90.000000,top
"R2","60.4k","R_0805",11.963400,-20.421600,0.000000,top
"R3","N.U.","R_0805",13.792200,-12.039600,180.000000,top
"R4","100k","R_0805",16.611600,-2.413000,270.000000,top
"R5","0 Ohm","R_0805",15.036800,-10.185400,180.000000,top
"R6","0 Ohm","R_0805",20.408900,-16.167100,90.000000,top
"R7","2k","R_0805",15.494000,-6.629400,90.000000,top
"R8","1k","R_0805",22.860000,-16.306800,90.000000,top
"R9","100k","R_0805",13.589000,-6.578600,270.000000,top
"R10","0.1 1/2W","R_0805",24.892000,-16.306800,90.000000,top
"R12","4.12k","R_0805",8.178800,-20.383500,0.000000,top
"R15","634k","R_0805",29.832300,-15.036800,90.000000,top
"R16","7.68k","R_0805",29.832300,-11.226800,90.000000,top
"U1","UCC3803","SOIC-8-N",14.185900,-16.497300,270.000000,top
